site,lat,long,transect,distance_along_tape,point,quarter,species,distance_from_point,height,dbh,ba,cover,salinity,soil_water_content,soil_carbon_content,soil_bulk_density
SouthStradbroke,-27.8303,153.40944,2,21,P1,3,AC,1.12,1.04,4.11,13.24,,,,,
SouthStradbroke,-27.8303,153.40944,2,21,P1,4,AC,3.35,0.73,4.17,13.66,,,,,
SouthStradbroke,-27.8303,153.40944,2,36,P2,1,AM,3.85,3.69,5.38,22.73,20.96,45,0,0.02724,1.17661
SouthStradbroke,-27.8303,153.40944,2,36,P2,2,AM,3.96,6.03,13.05,133.66,,,,,
SouthStradbroke,-27.8303,153.40944,2,36,P2,3,AM,23.95,6.61,16.9,224.38,,,,,
SouthStradbroke,-27.8303,153.40944,2,36,P2,4,CA,5.51,3.61,8.44,55.88,,,,,
SouthStradbroke,-27.8303,153.40944,2,105,P3,1,AM,5.36,3.25,4.42,15.38,17.84,38,0.28885,0.0582,1.08039
SouthStradbroke,-27.8303,153.40944,2,105,P3,2,AM,8.87,4.84,9.34,68.47,,,,,
SouthStradbroke,-27.8303,153.40944,2,105,P3,3,AM,6.64,5.51,7.37,42.65,,,,,
SouthStradbroke,-27.8303,153.40944,2,105,P3,4,CA,5.1,2.88,3.47,9.45,,,,,
SouthStradbroke,-27.8303,153.40944,2,145,P4,1,AC,0.33,1.6,3.5,9.63,63.6,40,0.38956,0.08087,0.76234
SouthStradbroke,-27.8303,153.40944,2,145,P4,2,AM,1.27,2.45,2.55,5.09,,,,,
SouthStradbroke,-27.8303,153.40944,2,145,P4,3,AC,1.42,1.73,2.72,5.82,,,,,
SouthStradbroke,-27.8303,153.40944,2,145,P4,4,BG,1.75,2.16,4.14,13.45,,,,,
SouthStradbroke,-27.8303,153.40944,2,196,P5,1,RS,1.42,8.63,8.53,57.16,67.76,34,0.29147,0.03715,0.98698
SouthStradbroke,-27.8303,153.40944,2,196,P5,2,AC,2.02,1.41,2.93,6.74,,,,,
SouthStradbroke,-27.8303,153.40944,2,196,P5,3,AC,1.32,1.46,5.4,22.86,,,,,
SouthStradbroke,-27.8303,153.40944,2,196,P5,4,RS,1.6,3.67,6.02,28.43,,,,,
SouthStradbroke,-27.8303,153.40944,2,227,P6,1,RS,1.23,5.47,7.21,40.83,94.8,35,0.28934,0.02297,1.05518
SouthStradbroke,-27.8303,153.40944,2,227,P6,2,AC,2.08,1.37,2.53,5.02,,,,,
SouthStradbroke,-27.8303,153.40944,2,227,P6,3,AM,0.5,5.3,3.66,10.52,,,,,
SouthStradbroke,-27.8303,153.40944,2,227,P6,4,AM,1.84,5.24,3.82,11.46,,,,,
SouthStradbroke,-27.8303,153.40944,3,23,P1,1,AM,18.59,5.34,15.76,194.98,0.16,44,0.27644,0.06213,1.05293
SouthStradbroke,-27.8303,153.40944,3,23,P1,2,AM,6.38,0.99,2.55,5.09,,,,,
SouthStradbroke,-27.8303,153.40944,3,23,P1,3,AM,10.98,0.46,3.31,8.61,,,,,
SouthStradbroke,-27.8303,153.40944,3,23,P1,4,AC,1.78,0.81,2.37,4.42,,,,,
SouthStradbroke,-27.8303,153.40944,3,52,P2,1,AM,6.75,5.87,13.02,133.12,11.6,51,0.197,0.01523,1.31226
SouthStradbroke,-27.8303,153.40944,3,52,P2,2,AM,5.66,4.37,9.77,75,,,,,
SouthStradbroke,-27.8303,153.40944,3,52,P2,3,AM,7.44,4.79,11.87,110.72,,,,,
SouthStradbroke,-27.8303,153.40944,3,52,P2,4,AM,7.03,4.12,11.87,110.72,,,,,
SouthStradbroke,-27.8303,153.40944,3,100,P3,1,AM,1.26,4.16,7.23,41.01,50.08,38,0.35166,0.0673,0.58054
SouthStradbroke,-27.8303,153.40944,3,100,P3,2,AC,0.44,1.44,2.64,5.48,,,,,
SouthStradbroke,-27.8303,153.40944,3,100,P3,3,AC,0.42,1.66,2.61,5.35,,,,,
SouthStradbroke,-27.8303,153.40944,3,100,P3,4,AC,0.77,1.38,2.64,5.48,,,,,
SouthStradbroke,-27.8303,153.40944,3,135,P4,1,CA,1.18,3,3.09,7.49,78.16,38,0.34687,0.07809,0.66387
SouthStradbroke,-27.8303,153.40944,3,135,P4,2,AM,1.31,4.81,5.79,26.36,,,,,
SouthStradbroke,-27.8303,153.40944,3,135,P4,3,AM,1.16,3.48,4.62,16.73,,,,,
SouthStradbroke,-27.8303,153.40944,3,135,P4,4,AM,2.19,3.82,9.33,68.32,,,,,
SouthStradbroke,-27.8303,153.40944,3,189,P5,1,RS,1.13,2.3,2.67,5.61,69.84,37,0.27181,0.047,1.10552
SouthStradbroke,-27.8303,153.40944,3,189,P5,2,RS,2.22,2.77,3.68,10.62,,,,,
SouthStradbroke,-27.8303,153.40944,3,189,P5,3,RS,0.84,2.95,3.81,11.4,,,,,
SouthStradbroke,-27.8303,153.40944,3,189,P5,4,CA,1.71,2.08,4.58,16.5,,,,,
SouthStradbroke,-27.8303,153.40944,3,211,P6,1,RS,2.14,3.72,6.6,34.26,53.2,35,0.32394,0.04617,0.94286
SouthStradbroke,-27.8303,153.40944,3,211,P6,2,RS,2.02,2.08,5.7,25.5,,,,,
SouthStradbroke,-27.8303,153.40944,3,211,P6,3,RS,1.47,2.65,2.74,5.89,,,,,
SouthStradbroke,-27.8303,153.40944,3,211,P6,4,RS,3.01,3.82,7.61,45.46,,,,,
SouthStradbroke,-27.8303,153.40944,4,18,P1,1,AM,13.36,7.47,15.94,199.44,0.16,42,0.31792,0.06293,1.13764
SouthStradbroke,-27.8303,153.40944,4,18,P1,2,AM,13.57,3.7,3.93,12.14,,,,,
SouthStradbroke,-27.8303,153.40944,4,18,P1,3,AM,9.78,4.75,12.11,115.21,,,,,
SouthStradbroke,-27.8303,153.40944,4,18,P1,4,AC,6.11,1.21,3.76,11.08,,,,,
SouthStradbroke,-27.8303,153.40944,4,44,P2,1,AM,11.2,4.76,16.17,205.36,2.24,55,0.19618,0.01877,1.26948
SouthStradbroke,-27.8303,153.40944,4,44,P2,2,AC,14.12,0.98,3.24,8.25,,,,,
SouthStradbroke,-27.8303,153.40944,4,44,P2,3,AC,11.31,0.83,2.83,6.3,,,,,
SouthStradbroke,-27.8303,153.40944,4,44,P2,4,AM,5.79,3.85,9.14,65.55,,,,,
SouthStradbroke,-27.8303,153.40944,4,102,P3,1,CA,1.82,1.94,2.61,5.35,1.2,41,0.36707,0.08865,0.80591
SouthStradbroke,-27.8303,153.40944,4,102,P3,2,CA,2.04,1.82,2.96,6.88,,,,,
SouthStradbroke,-27.8303,153.40944,4,102,P3,3,CA,1.92,2.25,3.12,7.64,,,,,
SouthStradbroke,-27.8303,153.40944,4,102,P3,4,CA,1.84,1.64,2.64,5.48,,,,,
SouthStradbroke,-27.8303,153.40944,4,143,P4,1,RS,2.07,2.98,6.24,30.57,55.28,36,0.35524,0.06334,0.91092
SouthStradbroke,-27.8303,153.40944,4,143,P4,2,CA,2.87,1.57,2.71,5.75,,,,,
SouthStradbroke,-27.8303,153.40944,4,143,P4,3,AM,1.04,3.28,3.06,7.33,,,,,
SouthStradbroke,-27.8303,153.40944,4,143,P4,4,AM,1.12,2.93,4.9,18.87,,,,,
SouthStradbroke,-27.8303,153.40944,4,186,P5,1,BG,1.76,3.85,11.4,101.99,100,37,0.29144,0.02234,1.04126
SouthStradbroke,-27.8303,153.40944,4,186,P5,2,BG,0.92,3.06,5.49,23.68,,,,,
SouthStradbroke,-27.8303,153.40944,4,186,P5,3,RS,1.68,3.39,8.44,55.88,,,,,
SouthStradbroke,-27.8303,153.40944,4,186,P5,4,RS,1.95,3.57,5.54,24.09,,,,,
SouthStradbroke,-27.8303,153.40944,4,203,P6,1,AM,6.35,6.35,21.1,349.8,66.72,34,0.24035,0.02003,1.32621
SouthStradbroke,-27.8303,153.40944,4,203,P6,2,RS,4.04,4.04,7.58,45.08,,,,,
SouthStradbroke,-27.8303,153.40944,4,203,P6,3,RS,3.92,3.92,12.46,121.97,,,,,
SouthStradbroke,-27.8303,153.40944,4,203,P6,4,AM,4.07,4.98,7.45,43.57,,,,,
SouthStradbroke,-27.8303,153.40944,5,13,P1,1,AC,4.59,1,5.35,22.46,0.16,41,0.37643,0.03699,0.91481
SouthStradbroke,-27.8303,153.40944,5,13,P1,2,AM,17.72,2.69,3.79,11.27,,,,,
SouthStradbroke,-27.8303,153.40944,5,13,P1,3,AM,9.33,3.15,5.22,21.4,,,,,
SouthStradbroke,-27.8303,153.40944,5,13,P1,4,CA,11.04,1.52,2.9,6.59,,,,,
SouthStradbroke,-27.8303,153.40944,5,37,P2,1,AC,4.52,0.8,4.49,15.82,1.2,44,0.22686,0.02867,1.29873
SouthStradbroke,-27.8303,153.40944,5,37,P2,2,AM,7.86,6.61,12.72,127.01,,,,,
SouthStradbroke,-27.8303,153.40944,5,37,P2,3,AM,7.32,5.36,9.86,76.38,,,,,
SouthStradbroke,-27.8303,153.40944,5,37,P2,4,AC,9.28,1.16,3.1,7.53,,,,,
SouthStradbroke,-27.8303,153.40944,5,98,P3,1,CA,1.75,2.6,3.41,9.11,22,43,0.347,0.06433,0.88161
SouthStradbroke,-27.8303,153.40944,5,98,P3,2,CA,0.97,1.91,2.74,5.89,,,,,
SouthStradbroke,-27.8303,153.40944,5,98,P3,3,CA,1.04,1.58,2.55,5.09,,,,,
SouthStradbroke,-27.8303,153.40944,5,98,P3,4,CA,1.09,2.11,2.58,5.22,,,,,
SouthStradbroke,-27.8303,153.40944,5,127,P4,1,AM,1.22,1.76,3.12,7.64,40.72,38,0.32692,0.05909,0.96502
SouthStradbroke,-27.8303,153.40944,5,127,P4,2,CA,1.31,2.49,2.23,3.9,,,,,
SouthStradbroke,-27.8303,153.40944,5,127,P4,3,CA,1.1,2.56,3.63,10.34,,,,,
SouthStradbroke,-27.8303,153.40944,5,127,P4,4,AM,1.19,4.66,6.37,31.83,,,,,
SouthStradbroke,-27.8303,153.40944,5,170,P5,1,AC,2.62,1.5,2.39,4.48,91.68,36,0.29648,0.02931,1.02132
SouthStradbroke,-27.8303,153.40944,5,170,P5,2,AC,2.17,0.98,3.87,11.75,,,,,
SouthStradbroke,-27.8303,153.40944,5,170,P5,3,RS,1.4,3.57,7.85,48.35,,,,,
SouthStradbroke,-27.8303,153.40944,5,170,P5,4,RS,1.5,4.08,8.34,54.63,,,,,
SouthStradbroke,-27.8303,153.40944,5,192,P6,1,AM,1.48,2.54,3.76,11.08,93.76,34,0.31146,0.03511,1.06611
SouthStradbroke,-27.8303,153.40944,5,192,P6,2,AM,1.84,2.6,5.51,23.82,,,,,
SouthStradbroke,-27.8303,153.40944,5,192,P6,3,AM,1.68,2.58,3.44,9.28,,,,,
SouthStradbroke,-27.8303,153.40944,5,192,P6,4,AM,1.2,3.82,6.78,36.1,,,,,
SouthStradbroke,-27.8303,153.40944,6,21,P1,1,AM,30.05,4.81,8.9,62.28,0.16,44,0.14087,0.07497,0.89302
SouthStradbroke,-27.8303,153.40944,6,21,P1,2,AC,14.84,2.25,3.72,10.89,,,,,
SouthStradbroke,-27.8303,153.40944,6,21,P1,3,AC,8.04,1.22,4.07,13.04,,,,,
SouthStradbroke,-27.8303,153.40944,6,21,P1,4,AC,9.56,1.14,2.76,5.98,,,,,
SouthStradbroke,-27.8303,153.40944,6,60,P2,1,AM,6.76,4.74,10.96,94.39,72.96,43,0.22717,0.02643,1.24045
SouthStradbroke,-27.8303,153.40944,6,60,P2,2,AM,2.55,5.32,12.05,114,,,,,
SouthStradbroke,-27.8303,153.40944,6,60,P2,3,AM,5.16,4.51,13.67,146.8,,,,,
SouthStradbroke,-27.8303,153.40944,6,60,P2,4,AM,7.28,5.34,12.84,129.56,,,,,
SouthStradbroke,-27.8303,153.40944,6,93,P3,1,AM,2.69,4.73,6.21,30.26,18.88,39,0.32083,0.07557,0.90882
SouthStradbroke,-27.8303,153.40944,6,93,P3,2,AM,11.28,3.84,7.97,49.94,,,,,
SouthStradbroke,-27.8303,153.40944,6,93,P3,3,AM,13.06,5.12,11.55,104.86,,,,,
SouthStradbroke,-27.8303,153.40944,6,93,P3,4,AM,2.07,5.33,15.41,186.42,,,,,
SouthStradbroke,-27.8303,153.40944,6,123,P4,1,AM,0.71,3.85,6.3,31.2,61.52,41,0.22147,0.02919,1.14962
SouthStradbroke,-27.8303,153.40944,6,123,P4,2,AM,0.74,3.56,4.33,14.72,,,,,
SouthStradbroke,-27.8303,153.40944,6,123,P4,3,CA,1.85,2.98,3.52,9.72,,,,,
SouthStradbroke,-27.8303,153.40944,6,123,P4,4,AM,0.56,5.78,3.69,10.71,,,,,
SouthStradbroke,-27.8303,153.40944,6,180,P5,1,AC,5.69,1.38,3.4,9.08,0.16,40,0.25101,0.02684,1.25326
SouthStradbroke,-27.8303,153.40944,6,180,P5,2,AM,8.85,2.23,4.11,13.24,,,,,
SouthStradbroke,-27.8303,153.40944,6,180,P5,3,AM,7.36,3.42,6.11,29.34,,,,,
SouthStradbroke,-27.8303,153.40944,6,180,P5,4,AM,8.18,4.54,8.13,51.95,,,,,
SouthStradbroke,-27.8303,153.40944,6,205,P6,1,AM,1.73,5.22,12.38,120.42,100,37,0.28701,0.0342,1.06643
SouthStradbroke,-27.8303,153.40944,6,205,P6,2,AM,0.4,2.51,3.09,7.49,,,,,
SouthStradbroke,-27.8303,153.40944,6,205,P6,3,AC,4.04,1.17,7.83,48.16,,,,,
SouthStradbroke,-27.8303,153.40944,6,205,P6,4,AM,1.36,4.71,7.54,44.7,,,,,
SouthStradbroke,-27.8303,153.40944,7,15,P1,1,AM,11.59,6.75,17.9,251.79,0.16,70,0.29828,0.06599,1.05792
SouthStradbroke,-27.8303,153.40944,7,15,P1,2,AC,14.62,1.5,2.8,6.16,,,,,
SouthStradbroke,-27.8303,153.40944,7,15,P1,3,AC,12.61,2.05,3.01,7.11,,,,,
SouthStradbroke,-27.8303,153.40944,7,15,P1,4,AM,15.32,5.12,11.93,111.71,,,,,
SouthStradbroke,-27.8303,153.40944,7,34,P2,1,AM,5.52,4.07,6.54,33.61,0.16,48,0.23914,0.02818,1.1454
SouthStradbroke,-27.8303,153.40944,7,34,P2,2,AM,10.08,5.17,10.19,81.49,,,,,
SouthStradbroke,-27.8303,153.40944,7,34,P2,3,AM,5.96,3.79,6.9,37.39,,,,,
SouthStradbroke,-27.8303,153.40944,7,34,P2,4,AM,8.68,3.87,6.14,29.64,,,,,
SouthStradbroke,-27.8303,153.40944,7,91,P3,1,CA,0.93,2.09,2.55,5.09,11.6,43,0.37361,0.07579,0.77671
SouthStradbroke,-27.8303,153.40944,7,91,P3,2,CA,0.66,1.68,2.58,5.22,,,,,
SouthStradbroke,-27.8303,153.40944,7,91,P3,3,CA,1.09,1.41,2.58,5.22,,,,,
SouthStradbroke,-27.8303,153.40944,7,91,P3,4,CA,1.12,1.8,3.12,7.64,,,,,
SouthStradbroke,-27.8303,153.40944,7,106,P4,1,AM,3.59,2.89,3.09,7.49,25.12,40,0.43539,0.09395,0.73637
SouthStradbroke,-27.8303,153.40944,7,106,P4,2,AM,4.14,6.35,9.07,64.64,,,,,
SouthStradbroke,-27.8303,153.40944,7,106,P4,3,CA,4.45,2.6,3.6,10.16,,,,,
SouthStradbroke,-27.8303,153.40944,7,106,P4,4,CA,2.34,1.77,2.74,5.89,,,,,
SouthStradbroke,-27.8303,153.40944,7,145,P5,1,AM,0.92,3.7,5.73,25.78,83.36,42,0.24564,0.02213,1.2424
SouthStradbroke,-27.8303,153.40944,7,145,P5,2,AM,0.96,4.54,9.14,65.55,,,,,
SouthStradbroke,-27.8303,153.40944,7,145,P5,3,AM,1.03,2.77,4.2,13.87,,,,,
SouthStradbroke,-27.8303,153.40944,7,145,P5,4,AM,1.69,4.84,8.29,54,,,,,
SouthStradbroke,-27.8303,153.40944,7,164,P6,1,AM,1.54,5.39,14.48,164.75,23.04,35,0.30945,0.02982,1.01875
SouthStradbroke,-27.8303,153.40944,7,164,P6,2,AM,4.43,4,7.89,48.94,,,,,
SouthStradbroke,-27.8303,153.40944,7,164,P6,3,AC,1.78,1.77,2.91,6.64,,,,,
SouthStradbroke,-27.8303,153.40944,7,164,P6,4,AM,2.43,3.64,5.73,25.78,,,,,
SouthStradbroke,-27.8303,153.40944,8,24,P1,1,AM,10.32,4.39,10.28,83.02,74,48,0.2126,0.01586,1.22961
SouthStradbroke,-27.8303,153.40944,8,24,P1,2,AM,3.73,5.1,10.15,80.98,,,,,
SouthStradbroke,-27.8303,153.40944,8,24,P1,3,AM,1.83,6.09,7.29,41.73,,,,,
SouthStradbroke,-27.8303,153.40944,8,24,P1,4,AM,2.42,6.34,10.98,94.72,,,,,
SouthStradbroke,-27.8303,153.40944,8,47,P2,1,AM,3.52,3.84,6.62,34.43,10.56,45,0.25815,0.03394,1.19116
SouthStradbroke,-27.8303,153.40944,8,47,P2,2,AM,3.85,3.87,8.48,56.52,,,,,
SouthStradbroke,-27.8303,153.40944,8,47,P2,3,AM,2.39,3.6,3.66,10.52,,,,,
SouthStradbroke,-27.8303,153.40944,8,47,P2,4,AM,1.97,3.09,6.24,30.57,,,,,
SouthStradbroke,-27.8303,153.40944,8,81,P3,1,CA,1.03,1.97,3.26,8.36,8.48,45,0.23,0.02803,1.20186
SouthStradbroke,-27.8303,153.40944,8,81,P3,2,AM,0.95,2.33,5.32,22.19,,,,,
SouthStradbroke,-27.8303,153.40944,8,81,P3,3,CA,1.29,1.87,2.61,5.35,,,,,
SouthStradbroke,-27.8303,153.40944,8,81,P3,4,CA,4.62,1.67,2.58,5.22,,,,,
SouthStradbroke,-27.8303,153.40944,8,95,P4,1,AM,3.19,4.19,8.26,53.59,41.76,41,0.29199,0.04219,1.06884
SouthStradbroke,-27.8303,153.40944,8,95,P4,2,CA,1.3,2.2,2.64,5.48,,,,,
SouthStradbroke,-27.8303,153.40944,8,95,P4,3,CA,0.93,2.7,2.99,7.03,,,,,
SouthStradbroke,-27.8303,153.40944,8,95,P4,4,CA,1.32,2.59,4.01,12.63,,,,,
SouthStradbroke,-27.8303,153.40944,8,137,P5,1,AM,2.82,4.45,10.2,81.74,1.2,40,0.21779,0.01794,1.30739
SouthStradbroke,-27.8303,153.40944,8,137,P5,2,AM,1.45,2.64,3.88,11.84,,,,,
SouthStradbroke,-27.8303,153.40944,8,137,P5,3,CA,1.83,2.01,2.71,5.75,,,,,
SouthStradbroke,-27.8303,153.40944,8,137,P5,4,AM,0.75,3.15,0.35,0.1,,,,,
SouthStradbroke,-27.8303,153.40944,8,164,P6,1,AM,2.92,5.25,7.23,41.01,54.24,35,0.21268,0.01689,1.24043
SouthStradbroke,-27.8303,153.40944,8,164,P6,2,AM,3.97,7,44.37,1546.38,,,,,
SouthStradbroke,-27.8303,153.40944,8,164,P6,3,AM,3.07,5.42,12.83,129.24,,,,,
SouthStradbroke,-27.8303,153.40944,8,164,P6,4,AC,2.9,2.18,3.18,7.96,,,,,
SouthStradbroke,-27.8303,153.40944,9,19,P1,1,AM,7.32,3.68,6.72,35.43,9.52,79,0.16978,0.0198,1.3846
SouthStradbroke,-27.8303,153.40944,9,19,P1,2,AM,11.6,7.5,17.99,254.26,,,,,
SouthStradbroke,-27.8303,153.40944,9,19,P1,3,AM,5.73,6.53,9.53,71.38,,,,,
SouthStradbroke,-27.8303,153.40944,9,19,P1,4,AM,5.92,5.67,13.32,139.37,,,,,
SouthStradbroke,-27.8303,153.40944,9,50,P2,1,AM,4.98,3.39,6.18,29.95,0.16,51,0.2239,0.02929,1.25436
SouthStradbroke,-27.8303,153.40944,9,50,P2,2,AM,4.92,2.79,5.28,21.93,,,,,
SouthStradbroke,-27.8303,153.40944,9,50,P2,3,AM,1.4,3.64,5.63,24.93,,,,,
SouthStradbroke,-27.8303,153.40944,9,50,P2,4,AM,2.77,2.6,5.44,23.27,,,,,
SouthStradbroke,-27.8303,153.40944,9,96,P3,1,AM,1.41,3.13,4.49,15.82,85.44,43,0.24447,0.02798,1.16647
SouthStradbroke,-27.8303,153.40944,9,96,P3,2,AM,3.68,4.81,0.95,0.72,,,,,
SouthStradbroke,-27.8303,153.40944,9,96,P3,3,AM,1.31,3.57,5.36,22.59,,,,,
SouthStradbroke,-27.8303,153.40944,9,96,P3,4,CA,4.58,2.61,2.74,5.89,,,,,
SouthStradbroke,-27.8303,153.40944,9,113,P4,1,AM,3.93,4.14,9.17,66,8.48,43,0.25617,0.02742,1.19039
SouthStradbroke,-27.8303,153.40944,9,113,P4,2,AM,4.06,3.79,8.69,59.31,,,,,
SouthStradbroke,-27.8303,153.40944,9,113,P4,3,CA,4.88,2.25,2.8,6.16,,,,,
SouthStradbroke,-27.8303,153.40944,9,113,P4,4,CA,1.59,1.96,2.55,5.09,,,,,
SouthStradbroke,-27.8303,153.40944,9,153,P5,1,AM,1.78,4.3,12.96,131.82,19.92,42,0.31037,0.01475,0.98896
SouthStradbroke,-27.8303,153.40944,9,153,P5,2,AM,5.68,3.95,6.81,36.44,,,,,
SouthStradbroke,-27.8303,153.40944,9,153,P5,3,CA,3.85,1.74,2.39,4.48,,,,,
SouthStradbroke,-27.8303,153.40944,9,153,P5,4,CA,4.12,1.44,2.72,5.79,,,,,
SouthStradbroke,-27.8303,153.40944,9,181,P6,1,AM,2.57,4.4,8.15,52.15,65.68,41,0.33923,0.04789,0.92173
SouthStradbroke,-27.8303,153.40944,9,181,P6,2,RS,2.2,2,4.03,12.77,,,,,
SouthStradbroke,-27.8303,153.40944,9,181,P6,3,AM,3.78,4.64,5.2,21.27,,,,,
SouthStradbroke,-27.8303,153.40944,9,181,P6,4,AM,2.63,2.89,5.06,20.12,,,,,
SouthStradbroke,-27.8303,153.40944,10,33,P1,1,AM,11.76,5.68,12.99,132.47,0.16,51,0.44182,0.12952,0.6997
SouthStradbroke,-27.8303,153.40944,10,33,P1,2,AM,7.32,4.95,11.87,110.72,,,,,
SouthStradbroke,-27.8303,153.40944,10,33,P1,3,AM,6.66,4.69,7.65,45.96,,,,,
SouthStradbroke,-27.8303,153.40944,10,33,P1,4,AM,15,4.97,12.38,120.42,,,,,
SouthStradbroke,-27.8303,153.40944,10,60,P2,1,AM,2.93,3.98,7.86,48.55,12.64,50,0.33494,0.06026,0.89089
SouthStradbroke,-27.8303,153.40944,10,60,P2,2,AM,3.76,2.69,3.98,12.43,,,,,
SouthStradbroke,-27.8303,153.40944,10,60,P2,3,AM,8.02,3.62,6.38,31.99,,,,,
SouthStradbroke,-27.8303,153.40944,10,60,P2,4,AM,2.32,3.19,5.4,22.86,,,,,
SouthStradbroke,-27.8303,153.40944,10,104,P3,1,CA,1.94,1.93,2.55,5.09,4.32,46,0.24164,0.02895,1.1266
SouthStradbroke,-27.8303,153.40944,10,104,P3,2,AM,3.02,3.94,5.2,21.23,,,,,
SouthStradbroke,-27.8303,153.40944,10,104,P3,3,AM,3.23,3.82,4.87,18.63,,,,,
SouthStradbroke,-27.8303,153.40944,10,104,P3,4,CA,4.62,2.11,3.28,8.44,,,,,
SouthStradbroke,-27.8303,153.40944,10,124,P4,1,AM,4.21,3.94,5.65,25.1,10.56,43,0.26156,0.07849,1.15895
SouthStradbroke,-27.8303,153.40944,10,124,P4,2,CA,2.45,2.26,3.12,7.64,,,,,
SouthStradbroke,-27.8303,153.40944,10,124,P4,3,AM,1.62,3.46,5.33,22.33,,,,,
SouthStradbroke,-27.8303,153.40944,10,124,P4,4,CA,2.87,2.22,3.37,8.94,,,,,
SouthStradbroke,-27.8303,153.40944,10,173,P5,1,AM,3.72,6.16,10.49,86.4,91.68,37,0.22802,0.01793,1.28859
SouthStradbroke,-27.8303,153.40944,10,173,P5,2,AM,0.34,4.77,6.05,28.73,,,,,
SouthStradbroke,-27.8303,153.40944,10,173,P5,3,RS,1.44,3.52,6.24,30.57,,,,,
SouthStradbroke,-27.8303,153.40944,10,173,P5,4,AM,1.12,5.35,9.99,78.46,,,,,
SouthStradbroke,-27.8303,153.40944,10,200,P6,1,RS,1.17,5.36,7.32,42.1,100,35,0.50564,0.08019,0.57256
SouthStradbroke,-27.8303,153.40944,10,200,P6,2,AM,1.53,3.01,3.12,7.64,,,,,
SouthStradbroke,-27.8303,153.40944,10,200,P6,3,AM,0.34,2.68,3.76,11.08,,,,,
SouthStradbroke,-27.8303,153.40944,10,200,P6,4,AM,1.92,5.32,6.49,33.12,,,,,
NorthStradbroke,-27.46294,153.42624,1,5,P1,1,AM,2.62,2.31,6.02,28.43,34.48,4,0.80512,0.54162,0.17155
NorthStradbroke,-27.46294,153.42624,1,5,P1,2,BG,3.6,2,3.53,9.8,,,,,
NorthStradbroke,-27.46294,153.42624,1,5,P1,3,AM,2.76,2.44,3.44,9.28,,,,,
